official_id,full_name,league_id,primary_conference,experience_years
cbb-tommy-greene-296,Tommy Greene,cbb,SEC,1
cbb-mike-potter-301,Mike Potter,cbb,Big East,1
cbb-eric-boyce-305,Eric Boyce,cbb,Other,1
cbb-tim-marion-307,Tim Marion,cbb,Other,1
cbb-wacey-lym-310,Wacey Lym,cbb,Other,1
cbb-gregory-nelson-312,Gregory Nelson,cbb,Big Ten,1
cbb-martin-cichocki-314,Martin Cichocki,cbb,Big Ten,1
cbb-jim-bruno-318,Jim Bruno,cbb,Big Ten,1
cbb-dj-christensen-319,DJ Christensen,cbb,Big Ten,1
cbb-john-lloyd-320,John Lloyd,cbb,Big Ten,1
cbb-layne-barney-325,Layne Barney,cbb,Big 12,1
cbb-kurt-tackett-328,Kurt Tackett,cbb,Big 12,1
cbb-blake-harris-329,Blake Harris,cbb,Big 12,1
cbb-randel-andres-330,Randel Andres,cbb,Big 12,1
cbb-bobby-bissant-333,Bobby Bissant,cbb,Big 12,1
cbb-bobby-bissant-iii-334,Bobby Bissant III,cbb,Big 12,1
cbb-ian-mcclenny-335,Ian McClenny,cbb,ACC,1
cbb-isaac-barrett-336,Isaac Barrett,cbb,ACC,1
cbb-tim-cormer-338,Tim Cormer,cbb,Big East,1
cbb-j-w-lucas-339,J.W. Lucas,cbb,ACC,1
cbb-adam-fiore-341,Adam Fiore,cbb,ACC,1
cbb-tommy-john-343,Tommy John,cbb,Big 12,1
cbb-doug-sturdivan-345,Doug Sturdivan,cbb,Other,1
cbb-john-st-clair-347,John St. Clair,cbb,Other,1
cbb-aran-hart-351,Aran Hart,cbb,Big Ten,1
cbb-michael-reese-353,Michael Reese,cbb,Big Ten,1
cbb-galen-durant-354,Galen Durant,cbb,Big Ten,1
cbb-chance-wallesen-356,Chance Wallesen,cbb,Big 12,1
cbb-john-johnson-359,John Johnson,cbb,SEC,1
cbb-connor-penn-360,Connor Penn,cbb,ACC,1
cbb-doug-sermons-361,Doug Sermons,cbb,ACC,1
cbb-paul-tuomey-362,Paul Tuomey,cbb,ACC,1
cbb-nick-terry-363,Nick Terry,cbb,ACC,1
cbb-randall-wells-364,Randall Wells,cbb,Big East,1
cbb-jeb-hardness-366,Jeb Hardness,cbb,SEC,1
cbb-jacob-hirz-367,Jacob Hirz,cbb,Other,1
cbb-grant-jeffres-368,Grant Jeffres,cbb,Other,1
cbb-jason-albanza-369,Jason Albanza,cbb,Other,1
cbb-mike-reid-370,Mike Reid,cbb,Big Ten,1
cbb-christopher-melo-371,Christopher Melo,cbb,Big Ten,1
cbb-tom-comer-373,Tom Comer,cbb,Big Ten,1
cbb-mike-underwood-374,Mike Underwood,cbb,Big Ten,1
cbb-ed-corbett-jr-377,Ed Corbett Jr.,cbb,Big East,1
cbb-steve-divine-379,Steve Divine,cbb,Big 12,1
cbb-christopher-merb-380,Christopher Merb,cbb,Big 12,1
cbb-nomi-kidwai-381,Nomi Kidwai,cbb,Big 12,1
cbb-jason-barker-382,Jason Barker,cbb,SEC,1
cbb-carlos-santos-383,Carlos Santos,cbb,SEC,1
cbb-devyn-page-384,Devyn Page,cbb,SEC,1
cbb-joe-switzer-386,Joe Switzer,cbb,ACC,1
